player,total_runs_innings_1,total_wickets_innings_1,matches_played_innings_1,total_runs_innings_2,total_wickets_innings_2,matches_played_innings_2
A Athanaze,59.0,,4.0,109.0,1.0,5.0
A Dananjaya,75.0,9.0,21.0,136.0,15.0,18.0
A Flintoff,557.0,50.0,42.0,570.0,18.0,38.0
A Flower,62.0,,1.0,60.0,,2.0
A Kumble,21.0,5.0,8.0,13.0,8.0,13.0
A Maregwede,6.0,,3.0,52.0,,3.0
A Martin,2.0,2.0,3.0,,7.0,2.0
A McGrath,108.0,1.0,6.0,17.0,1.0,4.0
A Mishra,10.0,31.0,17.0,20.0,13.0,9.0
A Mithun,,1.0,2.0,27.0,2.0,4.0
A Nehra,25.0,46.0,33.0,47.0,32.0,33.0
A Nel,89.0,21.0,18.0,15.0,19.0,18.0
A Nortje,9.0,4.0,5.0,10.0,15.0,6.0
A Phillip,21.0,0.0,2.0,,0.0,1.0
A Shahzad,8.0,,2.0,,5.0,4.0
A Symonds,1382.0,23.0,72.0,859.0,31.0,59.0
A Zampa,134.0,47.0,42.0,50.0,61.0,42.0
AA Donald,,0.0,1.0,,,
AAP Atkinson,4.0,4.0,3.0,35.0,3.0,4.0
AB Agarkar,103.0,44.0,36.0,64.0,33.0,29.0
AB Barath,97.0,,4.0,82.0,,4.0
AB Dinda,16.0,9.0,5.0,3.0,3.0,5.0
AB de Villiers,2946.0,1.0,60.0,2559.0,2.0,61.0
AC Agar,97.0,5.0,14.0,149.0,4.0,12.0
AC Dawson,,1.0,1.0,23.0,1.0,2.0
AC Gilchrist,1221.0,,33.0,1355.0,,36.0
AC Voges,257.0,0.0,12.0,172.0,4.0,11.0
AD Hales,1114.0,,23.0,608.0,,15.0
AD Mascarenhas,36.0,4.0,6.0,19.0,3.0,6.0
AD Mathews,2102.0,33.0,114.0,1509.0,35.0,93.0
AD Russell,335.0,20.0,31.0,256.0,21.0,30.0
ADS Fletcher,114.0,,8.0,133.0,0.0,12.0
AF Giles,108.0,10.0,17.0,19.0,8.0,9.0
AF Milne,102.0,20.0,21.0,13.0,15.0,18.0
AG Cremer,167.0,19.0,33.0,177.0,15.0,33.0
AG Prince,102.0,,5.0,193.0,0.0,10.0
AG Wharf,3.0,3.0,3.0,,6.0,3.0
AGR Loudon,,,,,0.0,1.0
AJ Bichel,65.0,17.0,13.0,43.0,6.0,11.0
AJ Finch,2033.0,1.0,59.0,937.0,1.0,45.0
AJ Hall,120.0,30.0,23.0,107.0,13.0,18.0
AJ Hosein,40.0,14.0,17.0,69.0,8.0,12.0
AJ Ireland,2.0,9.0,7.0,1.0,4.0,6.0
AJ McKay,6.0,12.0,9.0,0.0,5.0,8.0
AJ Redmond,53.0,,3.0,83.0,,2.0
AJ Stewart,139.0,,4.0,66.0,,3.0
AJ Strauss,973.0,,26.0,950.0,0.0,29.0
AJ Turner,25.0,,3.0,13.0,1.0,2.0
AJ Tye,27.0,10.0,5.0,23.0,2.0,5.0
AK Markram,522.0,8.0,27.0,526.0,3.0,26.0
AK Perera,7.0,0.0,2.0,1.0,0.0,2.0
AL Phehlukwayo,250.0,33.0,40.0,278.0,21.0,29.0
AM Bacher,56.0,,1.0,,0.0,1.0
AM Blignaut,107.0,18.0,19.0,88.0,3.0,14.0
AM Ellis,95.0,1.0,8.0,13.0,6.0,8.0
AM Fernando,,3.0,1.0,,1.0,3.0
AM Hardie,66.0,0.0,5.0,2.0,5.0,5.0
AM Nayar,,0.0,1.0,0.0,,1.0
AM Phangiso,6.0,5.0,9.0,23.0,11.0,9.0
AM Rahane,833.0,,24.0,864.0,,26.0
AN Cook,733.0,,23.0,820.0,,27.0
AN Petersen,213.0,,7.0,91.0,,5.0
AP Devcich,90.0,0.0,5.0,19.0,2.0,6.0
AR Adams,68.0,7.0,9.0,19.0,5.0,7.0
AR Caddick,21.0,8.0,7.0,31.0,9.0,7.0
AR Nurse,113.0,9.0,20.0,206.0,10.0,20.0
AR Patel,160.0,28.0,36.0,312.0,22.0,29.0
AS Joseph,68.0,45.0,32.0,141.0,21.0,27.0
AT Carey,742.0,,28.0,361.0,,13.0
AT Rayudu,555.0,0.0,16.0,512.0,1.0,19.0
AU Rashid,326.0,56.0,57.0,207.0,63.0,56.0
Aamer Yamin,1.0,,1.0,,0.0,1.0
Abdul Razzaq,839.0,43.0,76.0,780.0,41.0,71.0
Abdullah Shafique,28.0,,2.0,139.0,,3.0
Abdur Rauf,,8.0,3.0,,,
Abdur Razzak,170.0,62.0,54.0,203.0,29.0,53.0
Abdur Rehman,83.0,7.0,16.0,26.0,14.0,14.0
Abid Ali,21.0,,1.0,139.0,,3.0
Abu Jayed,,0.0,1.0,,,
Abul Hasan,8.0,0.0,4.0,,0.0,4.0
Adnan Akmal,62.0,,4.0,,,
Afif Hossain,296.0,0.0,10.0,62.0,1.0,8.0
Aftab Ahmed,231.0,4.0,20.0,236.0,0.0,18.0
Agha Salman,89.0,0.0,7.0,125.0,2.0,7.0
Ahmed Shehzad,715.0,1.0,24.0,794.0,1.0,26.0
Aizaz Cheema,7.0,9.0,7.0,6.0,8.0,7.0
Akram Khan,13.0,,1.0,,,
Al Sahariar,8.0,,1.0,,,
Al-Amin Hossain,1.0,6.0,4.0,0.0,13.0,8.0
Alok Kapali,209.0,7.0,17.0,227.0,0.0,13.0
Anamul Haque,744.0,,19.0,139.0,,11.0
Anwar Ali,37.0,6.0,10.0,66.0,4.0,9.0
Arafat Sunny,25.0,4.0,9.0,14.0,14.0,9.0
Arshad Khan,,3.0,3.0,14.0,3.0,5.0
Arshdeep Singh,25.0,7.0,4.0,3.0,5.0,4.0
Asad Ali,,1.0,2.0,2.0,,1.0
Asad Shafiq,415.0,0.0,16.0,371.0,,18.0
Asif Ali,227.0,,7.0,130.0,0.0,7.0
Avesh Khan,10.0,4.0,5.0,13.0,5.0,5.0
Azhar Ali,765.0,2.0,21.0,418.0,0.0,21.0
Azhar Mahmood,78.0,3.0,8.0,20.0,3.0,8.0
B Evans,47.0,8.0,6.0,30.0,0.0,5.0
B Fernando,2.0,,1.0,,2.0,2.0
B Geeves,,1.0,1.0,10.0,,1.0
B Kumar,132.0,61.0,58.0,160.0,53.0,50.0
B Laughlin,1.0,1.0,2.0,,2.0,3.0
B Lee,327.0,77.0,70.0,239.0,96.0,60.0
B Mavuta,23.0,1.0,3.0,20.0,2.0,3.0
B Muzarabani,33.0,7.0,13.0,10.0,11.0,14.0
B Sai Sudharsan,72.0,,2.0,55.0,0.0,2.0
B Stanlake,2.0,1.0,5.0,1.0,6.0,5.0
BA Carse,99.0,4.0,10.0,40.0,8.0,10.0
BA King,191.0,,12.0,229.0,,6.0
BA Murphy,1.0,1.0,2.0,2.0,1.0,2.0
BA Parchment,19.0,,1.0,33.0,,2.0
BA Stokes,1109.0,23.0,58.0,947.0,20.0,56.0
BA Williams,0.0,21.0,10.0,3.0,11.0,10.0
BAW Mendis,62.0,54.0,43.0,37.0,43.0,40.0
BB Chari,26.0,,2.0,20.0,,3.0
BB McCullum,1903.0,,63.0,1348.0,,52.0
BB Sran,,4.0,3.0,,4.0,2.0
BC Fortuin,,4.0,2.0,1.0,,1.0
BC Lara,466.0,,13.0,670.0,,21.0
BCJ Cutting,53.0,3.0,3.0,,2.0,3.0
BE Hendricks,2.0,7.0,5.0,19.0,0.0,3.0
BG Lister,,1.0,2.0,6.0,,2.0
BG Rogers,34.0,1.0,2.0,55.0,0.0,3.0
BJ Dwarshuis,,1.0,1.0,,,
BJ Haddin,1047.0,,42.0,710.0,,25.0
BJ Hodge,153.0,0.0,7.0,122.0,0.0,6.0
BJ Watling,82.0,,4.0,28.0,,5.0
BKG Mendis,948.0,,35.0,682.0,0.0,30.0
BM Duckett,258.0,,6.0,98.0,,4.0
BM Tickner,8.0,0.0,4.0,6.0,3.0,4.0
BM Wheeler,,4.0,2.0,3.0,2.0,2.0
BMAJ Mendis,167.0,9.0,31.0,203.0,8.0,25.0
BOP Fernando,2.0,,1.0,32.0,,2.0
BR Dorey,2.0,1.0,3.0,,1.0,1.0
BR McDermott,159.0,,3.0,,,
BRM Taylor,1565.0,2.0,56.0,1737.0,2.0,57.0
BV Vitori,12.0,25.0,14.0,31.0,5.0,10.0
BW Hilfenhaus,7.0,4.0,7.0,17.0,21.0,17.0
Babar Azam,1682.0,,28.0,1706.0,,39.0
Bazid Khan,78.0,0.0,3.0,51.0,,2.0
Bilal Asif,,0.0,1.0,2.0,,1.0
Bilawal Bhatti,2.0,0.0,4.0,9.0,4.0,6.0
C Green,186.0,9.0,17.0,108.0,3.0,12.0
C Gunasekara,,0.0,1.0,,,
C Hemraj,33.0,,3.0,17.0,0.0,3.0
C Jonker,,,,6.0,,1.0
C Karunaratne,233.0,9.0,13.0,50.0,6.0,13.0
C Kieswetter,199.0,,7.0,174.0,,7.0
C Madande,5.0,,1.0,24.0,,1.0
C Munro,412.0,4.0,26.0,378.0,4.0,17.0
C Overton,50.0,0.0,5.0,,3.0,4.0
C White,31.0,1.0,3.0,13.0,4.0,3.0
C Zhuwao,,,,35.0,,1.0
C de Grandhomme,219.0,7.0,26.0,263.0,8.0,23.0
CA Ingram,403.0,,12.0,97.0,0.0,5.0
CA Lynn,15.0,,1.0,0.0,,1.0
CA Pujara,,,,13.0,,2.0
CAK Rajitha,27.0,7.0,10.0,53.0,6.0,12.0
CAK Walton,19.0,,2.0,10.0,,2.0
CB Mpofu,9.0,18.0,28.0,6.0,13.0,23.0
CB Wishart,26.0,,2.0,85.0,,5.0
CBRLS Kumara,13.0,8.0,12.0,19.0,11.0,11.0
CD Collymore,11.0,13.0,17.0,5.0,10.0,12.0
CD Cumming,35.0,,3.0,1.0,,1.0
CD McMillan,299.0,2.0,20.0,542.0,5.0,24.0
CE McConchie,46.0,3.0,5.0,72.0,1.0,4.0
CH Gayle,1167.0,54.0,87.0,2117.0,18.0,87.0
CH Morris,220.0,16.0,28.0,169.0,11.0,22.0
CJ Anderson,296.0,21.0,28.0,267.0,13.0,23.0
CJ Bowes,97.0,,4.0,1.0,,1.0
CJ Chibhabha,454.0,11.0,39.0,615.0,6.0,41.0
CJ Ferguson,246.0,,9.0,106.0,,5.0
CJ Jordan,85.0,25.0,21.0,28.0,10.0,16.0
CJ McKay,47.0,20.0,19.0,37.0,42.0,26.0
CJ Nevin,8.0,,3.0,75.0,,4.0
CK Coventry,348.0,,9.0,162.0,,6.0
CK Kapugedera,750.0,0.0,39.0,306.0,1.0,19.0
CK Langeveldt,16.0,34.0,26.0,36.0,19.0,24.0
CKB Kulasekara,0.0,0.0,2.0,19.0,0.0,3.0
CL Cairns,330.0,5.0,18.0,196.0,4.0,16.0
CL Hooper,40.0,,1.0,,2.0,1.0
CL White,706.0,2.0,29.0,317.0,2.0,19.0
CMW Read,79.0,,5.0,33.0,,3.0
CO Browne,16.0,,1.0,11.0,,3.0
CP Tremain,23.0,3.0,2.0,0.0,3.0,3.0
CR Brathwaite,95.0,14.0,19.0,231.0,7.0,18.0
CR Ervine,432.0,,21.0,298.0,,16.0
CR Woakes,475.0,60.0,63.0,362.0,55.0,59.0
CRD Fernando,68.0,30.0,36.0,77.0,57.0,52.0
CS Baugh,156.0,,8.0,57.0,,6.0
CS Martin,,2.0,2.0,,2.0,2.0
CT Mumba,13.0,1.0,3.0,1.0,0.0,3.0
CT Mutombodzi,12.0,,2.0,,0.0,2.0
CT Tremlett,12.0,3.0,9.0,11.0,3.0,7.0
CZ Harris,94.0,1.0,13.0,10.0,6.0,11.0
D Bishoo,60.0,12.0,21.0,77.0,12.0,21.0
D Elgar,77.0,,2.0,2.0,1.0,3.0
D Foxcroft,,,,0.0,,1.0
D Gamage,1.0,,1.0,,1.0,1.0
D Ganga,7.0,,1.0,104.0,,4.0
D Gough,27.0,18.0,11.0,47.0,10.0,9.0
D Lakshan,2.0,,1.0,,0.0,1.0
D Madushanka,0.0,10.0,6.0,13.0,6.0,5.0
D Mohammed,0.0,5.0,3.0,,1.0,1.0
D Mongia,146.0,4.0,13.0,78.0,1.0,9.0
D Myers,,,,18.0,,1.0
D Olivier,,1.0,1.0,,2.0,1.0
D Paterson,,0.0,1.0,,,
D Pretorius,31.0,15.0,11.0,65.0,4.0,8.0
D Ramdin,561.0,,24.0,959.0,,37.0
D Wiese,8.0,5.0,4.0,68.0,0.0,4.0
DA Gunawardene,139.0,,7.0,153.0,,5.0
DA Marillier,0.0,3.0,5.0,113.0,1.0,6.0
DA Miller,1574.0,,52.0,895.0,,30.0
DA Warner,2372.0,,48.0,1316.0,0.0,40.0
DAJ Bracewell,76.0,9.0,13.0,5.0,7.0,10.0
DAS Gunaratne,115.0,13.0,17.0,179.0,2.0,14.0
DBL Powell,5.0,16.0,19.0,30.0,21.0,19.0
DC Drakes,3.0,,1.0,,0.0,1.0
DC Thomas,139.0,,8.0,61.0,2.0,8.0
DD Ebrahim,193.0,,7.0,255.0,,13.0
DE Bernard,64.0,4.0,11.0,54.0,4.0,11.0
DE Bollinger,0.0,24.0,14.0,10.0,15.0,10.0
DG Brownlie,93.0,,5.0,24.0,,2.0
DJ Bravo,899.0,73.0,70.0,685.0,36.0,67.0
DJ Cullen,,2.0,1.0,,,
DJ Hooda,57.0,2.0,5.0,58.0,1.0,5.0
DJ Hussey,661.0,7.0,32.0,366.0,5.0,26.0
DJ Malan,610.0,,9.0,236.0,0.0,7.0
DJ Mitchell,451.0,5.0,12.0,617.0,2.0,16.0
DJ Willey,327.0,18.0,35.0,93.0,30.0,33.0
DJ Worrall,,,,,0.0,1.0
DJG Sammy,703.0,29.0,64.0,568.0,28.0,60.0
DJM Short,116.0,0.0,6.0,54.0,0.0,4.0
DK Butler,,1.0,3.0,16.0,1.0,3.0
DL Chahar,1.0,5.0,5.0,11.0,3.0,4.0
DL Vettori,498.0,42.0,79.0,338.0,73.0,68.0
DM Bravo,1228.0,,34.0,801.0,,30.0
DM Dupavillon,,0.0,1.0,17.0,,1.0
DM Richards,99.0,,4.0,80.0,,3.0
DM de Silva,542.0,7.0,37.0,249.0,11.0,33.0
DN Wellalage,110.0,8.0,15.0,57.0,11.0,12.0
DNT Zoysa,8.0,12.0,10.0,13.0,5.0,9.0
DP Conway,238.0,,5.0,476.0,,11.0
DP Hyatt,28.0,,5.0,50.0,,2.0
DPMD Jayawardene,2517.0,,97.0,1816.0,1.0,67.0
DR Briggs,,2.0,1.0,,,
DR Flynn,37.0,,2.0,69.0,,3.0
DR Martyn,773.0,0.0,23.0,443.0,,18.0
DR Mousley,57.0,0.0,2.0,4.0,,1.0
DR Smith,284.0,22.0,42.0,372.0,16.0,39.0
DR Tuffey,57.0,19.0,21.0,12.0,17.0,13.0
DS Kulkarni,,10.0,6.0,25.0,8.0,5.0
DS Lehmann,330.0,6.0,14.0,131.0,8.0,12.0
DS Smith,257.0,,15.0,303.0,0.0,14.0
DS Weerakkody,5.0,,1.0,58.0,,1.0
DT Christian,164.0,6.0,11.0,8.0,9.0,11.0
DT Hondo,8.0,9.0,14.0,18.0,9.0,15.0
DT Tiripano,54.0,8.0,13.0,81.0,2.0,12.0
DW Steyn,38.0,70.0,51.0,131.0,43.0,44.0
Danish Aziz,,0.0,2.0,12.0,,2.0
Danish Kaneria,0.0,2.0,6.0,2.0,4.0,5.0
Dhiman Ghosh,3.0,,2.0,29.0,,1.0
Dolar Mahmud,0.0,5.0,5.0,0.0,1.0,2.0
E Chigumbura,1237.0,25.0,85.0,1116.0,28.0,86.0
E Lewis,173.0,,6.0,351.0,,17.0
EC Joyce,149.0,,5.0,155.0,,7.0
EC Rainsford,12.0,9.0,12.0,2.0,4.0,12.0
EJG Morgan,2074.0,,65.0,1652.0,,55.0
EMDY Munaweera,4.0,,1.0,11.0,,1.0
Ebadat Hossain,0.0,6.0,3.0,0.0,5.0,4.0
Ehsan Adil,21.0,1.0,3.0,1.0,1.0,3.0
Elias Sunny,,5.0,4.0,2.0,,4.0
Enamul Haque jnr,5.0,6.0,5.0,3.0,2.0,3.0
F Behardien,271.0,1.0,19.0,222.0,6.0,23.0
F Mutizwa,22.0,,5.0,54.0,,3.0
F du Plessis,1660.0,1.0,40.0,1527.0,,41.0
FA Allen,22.0,5.0,11.0,143.0,0.0,10.0
FDM Karunaratne,283.0,0.0,14.0,163.0,0.0,13.0
FH Allen,118.0,,6.0,88.0,,5.0
FH Edwards,23.0,16.0,17.0,18.0,14.0,17.0
FL Reifer,55.0,,4.0,31.0,,2.0
FY Fazal,,,,55.0,,1.0
Faheem Ashraf,80.0,6.0,20.0,49.0,7.0,16.0
Faisal Athar,9.0,,1.0,,,
Faisal Hossain,1.0,,1.0,,,
Faisal Iqbal,30.0,,2.0,32.0,,1.0
Fakhar Zaman,1053.0,0.0,22.0,1322.0,0.0,28.0
Farhad Reza,56.0,2.0,13.0,57.0,4.0,13.0
Fawad Ahmed,4.0,,1.0,,2.0,2.0
Fawad Alam,284.0,3.0,15.0,373.0,0.0,16.0
Fazle Mahmud,0.0,,1.0,,0.0,1.0
G Coetzee,5.0,8.0,6.0,11.0,8.0,6.0
G Gambhir,1423.0,,39.0,1669.0,,41.0
G Kirsten,,,,69.0,,1.0
G Motie,71.0,9.0,12.0,46.0,11.0,10.0
G Onions,1.0,3.0,3.0,,1.0,2.0
GA Lamb,102.0,4.0,11.0,35.0,6.0,10.0
GA Manou,7.0,,1.0,,,
GB Brent,120.0,10.0,15.0,50.0,4.0,15.0
GB Hogg,314.0,35.0,39.0,72.0,59.0,38.0
GC Smith,1384.0,8.0,55.0,1614.0,1.0,44.0
GC Tonge,10.0,0.0,4.0,,6.0,4.0
GD Elliott,640.0,15.0,35.0,516.0,7.0,31.0
GD McGrath,2.0,38.0,25.0,4.0,20.0,19.0
GD Phillips,115.0,6.0,11.0,143.0,2.0,8.0
GF Linde,,2.0,1.0,18.0,,1.0
GH Bodi,32.0,0.0,2.0,51.0,,1.0
GH Worker,87.0,0.0,4.0,20.0,,1.0
GJ Bailey,1122.0,,28.0,762.0,,23.0
GJ Batty,,,,,0.0,1.0
GJ Hopkins,97.0,,7.0,52.0,,4.0
GJ Maxwell,1193.0,19.0,76.0,860.0,30.0,70.0
GJ Rennie,,2.0,2.0,37.0,,2.0
GJ Whittall,1.0,1.0,2.0,28.0,0.0,2.0
GJP Kruger,,1.0,2.0,0.0,,1.0
GM Ewing,7.0,5.0,4.0,12.0,1.0,4.0
GM Strydom,56.0,,2.0,6.0,,2.0
GO Jones,223.0,,8.0,118.0,,7.0
GP Swann,132.0,28.0,30.0,155.0,23.0,29.0
GS Ballance,42.0,,5.0,57.0,,3.0
GS Sandhu,,2.0,1.0,,,
GSNFG Jayasuriya,18.0,0.0,4.0,127.0,0.0,4.0
GW Aldridge,,1.0,1.0,,0.0,1.0
GW Flower,75.0,10.0,14.0,399.0,0.0,13.0
Gurkeerat Singh,8.0,1.0,3.0,5.0,0.0,2.0
H Davids,,,,7.0,,1.0
H Klaasen,411.0,,12.0,535.0,,15.0
H Masakadza,1464.0,9.0,73.0,1435.0,5.0,67.0
HAPW Jayawardene,4.0,,2.0,,,
HB Shipley,11.0,3.0,6.0,7.0,10.0,6.0
HC Brook,365.0,,10.0,64.0,,3.0
HD Rutherford,2.0,,1.0,1.0,,1.0
HDPK Dharmasena,81.0,2.0,6.0,11.0,2.0,6.0
HDRL Thirimanne,1072.0,2.0,35.0,1264.0,1.0,35.0
HE van der Dussen,858.0,1.0,16.0,522.0,,17.0
HF Gurney,4.0,8.0,8.0,11.0,1.0,6.0
HH Dippenaar,187.0,,5.0,472.0,,12.0
HH Gibbs,767.0,,24.0,939.0,,30.0
HH Pandya,392.0,39.0,55.0,687.0,19.0,40.0
HH Streak,167.0,21.0,17.0,278.0,0.0,17.0
HJH Marshall,297.0,,17.0,185.0,,8.0
HK Badani,102.0,1.0,4.0,33.0,1.0,3.0
HK Bennett,,7.0,6.0,3.0,11.0,7.0
HM Amla,2814.0,,53.0,1988.0,,51.0
HM Nicholls,665.0,,21.0,417.0,,17.0
HMCM Bandara,53.0,4.0,9.0,12.0,16.0,13.0
HMRKB Herath,47.0,24.0,26.0,39.0,17.0,25.0
HP Rinke,4.0,0.0,5.0,13.0,2.0,4.0
HP Tillakaratne,102.0,,5.0,30.0,,2.0
HR Walsh,23.0,1.0,5.0,2.0,2.0,5.0
HWR Cartwright,,,,1.0,,1.0
Habibul Bashar,196.0,,14.0,177.0,,12.0
Haider Ali,,,,29.0,,1.0
Hammad Azam,4.0,1.0,3.0,40.0,0.0,3.0
Hannan Sarkar,94.0,,5.0,87.0,,3.0
Harbhajan Singh,234.0,55.0,72.0,319.0,66.0,70.0
Haris Rauf,0.0,30.0,16.0,10.0,6.0,9.0
Haris Sohail,751.0,2.0,22.0,308.0,4.0,16.0
Hasan Ali,151.0,48.0,34.0,130.0,23.0,30.0
Hasan Mahmud,1.0,5.0,5.0,10.0,4.0,7.0
Hasibul Hossain,6.0,0.0,2.0,1.0,0.0,2.0
Hussain Talat,2.0,,1.0,,0.0,1.0
I Kaia,37.0,0.0,4.0,23.0,0.0,4.0
I Sharma,11.0,60.0,34.0,33.0,20.0,29.0
